,names,rating,cuisine types,price,location,url
389,Robinhood Pub And Kitchen,3.5,"North Indian, Chinese, Fast Food, Bar Food, Beverages, Desserts, Sichuan","₹1,400 for two"," Rajarajeshwari Nagar, Bangalore",https://www.zomato.com/bangalore/robinhood-pub-and-kitchen-rajarajeshwari-nagar-bangalore/info
390,Quench Bar,4.4,"Mexican, Continental, Asian, Finger Food","₹1,900 for two"," Domlur, Bangalore",https://www.zomato.com/bangalore/quench-bar-domlur/info
391,B1,4.0,"Continental, Burger, Italian, Pizza, North Indian, Salad, Seafood","₹1,300 for two"," New BEL Road, Bangalore",https://www.zomato.com/bangalore/b1-new-bel-road-bangalore/info
392,Comet Rooftop Resto Bar,4.2,"Finger Food, Continental, Beverages, North Indian, Shake","₹2,000 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/comet-rooftop-resto-bar-marathahalli-bangalore/info
393,Tetto,4.1,"Continental, Shake","₹1,600 for two"," Koramangala 1st Block, Bangalore",https://www.zomato.com/bangalore/tetto-koramangala-1st-block/info
394,Daawat Restaurant Bar & Pub,4.0,"Finger Food, North Indian, Seafood, Mangalorean, Chinese","₹1,200 for two"," Koramangala 7th Block, Bangalore",https://www.zomato.com/bangalore/daawat-restaurant-bar-pub-koramangala-7th-block/info
395,Kava Bar - Fairfield By Marriott,4.1,"North Indian, South Indian, Continental","₹3,000 for two"," Fairfield by Marriott,Rajajinagar , Bangalore",https://www.zomato.com/bangalore/kava-bar-fairfield-by-marriott-rajajinagar-bangalore/info
396,Illusion,3.9,Fast Food,"₹2,500 for two"," International Airport, Bangalore",https://www.zomato.com/bangalore/illusion-international-airport/info
397,Samudra Bar & Restaurant,3.8,"North Indian, Mughlai, Chinese, Rolls, Sandwich, Seafood, Beverages, Sichuan",₹850 for two," Seshadripuram, Bangalore",https://www.zomato.com/bangalore/samudra-bar-restaurant-seshadripuram-bangalore/info
398,H3O,3.9,"North Indian, Chinese","₹1,700 for two"," Rajajinagar, Bangalore",https://www.zomato.com/bangalore/h3o-rajajinagar/info
399,Rajadhani Delux Bar And Restaurant,3.9,"North Indian, Mangalorean, Seafood, Chinese, Fast Food",₹950 for two," Majestic, Bangalore",https://www.zomato.com/bangalore/rajadhani-delux-bar-and-restaurant-majestic-bangalore/info
400,Sixtyy Desi Dhaba,3.9,"Finger Food, Fast Food, North Indian","₹1,400 for two"," Koramangala 6th Block, Bangalore",https://www.zomato.com/bangalore/sixtyy-desi-dhaba-1-koramangala-6th-block-bangalore/info
401,Soho Bar & Grill,3.3,"North Indian, Chinese, Thai, Continental, Andhra, Seafood","₹1,300 for two"," Basavanagudi, Bangalore",https://www.zomato.com/bangalore/soho-bar-grill-basavanagudi/info
402,Aaranya Restaurant,3.9,"North Indian, Chinese, Biryani, Mughlai, Desserts",₹950 for two," HSR, Bangalore",https://www.zomato.com/bangalore/aaranya-restaurant-hsr-bangalore/info
403,Ashwa Fine Dine,4.2,"North Indian, Chinese, Andhra, Finger Food",₹850 for two," Vijay Nagar, Bangalore",https://www.zomato.com/bangalore/ashwa-fine-dine-vijay-nagar-bangalore/info
404,English Channel,3.9,"Finger Food, Chinese, Continental","₹1,800 for two"," The Royal Comfort, Bangalore",https://www.zomato.com/bangalore/english-channel-jayanagar/info
405,Barrel House,New,"North Indian, Chinese, Asian, Italian, Fast Food, Biryani, Bar Food, Beverages","₹1,200 for two"," Bannerghatta Road, Bangalore",https://www.zomato.com/bangalore/barrel-house-2-bannerghatta-road-bangalore/info
406,Mourya Bar And Restaurant,3.9,"North Indian, Bar Food",₹950 for two," Marathahalli, Bangalore",https://www.zomato.com/bangalore/mourya-bar-and-restaurant-marathahalli-bangalore/info
407,Jaishree Pavilion,4.1,"North Indian, South Indian, Chinese",₹850 for two," Thippasandra, Bangalore",https://www.zomato.com/bangalore/jaishree-pavilion-thippasandra/info
408,Minerva Classic,3.9,"North Indian, Biryani, Mughlai",₹500 for two," Banaswadi, Bangalore",https://www.zomato.com/bangalore/minerva-classic-banaswadi-bangalore/info
409,Rico Chateau,3.9,"North Indian, Finger Food, Fast Food, Street Food, Desserts, Beverages","₹1,300 for two"," Yelahanka, Bangalore",https://www.zomato.com/bangalore/rico-chateau-yelahanka-bangalore/info
410,Great Moments - Hotel Bangalore International,3.9,"North Indian, Chinese, Thai, Mughlai, Continental, Seafood, Desserts","₹1,300 for two"," Hotel Bangalore International, Bangalore",https://www.zomato.com/bangalore/great-moments-hotel-bangalore-international-race-course-road-bangalore/info
411,B & B The Pub,4.0,"Chinese, North Indian, Sichuan","₹1,200 for two"," City Market, Bangalore",https://www.zomato.com/bangalore/b-b-the-pub-city-market-bangalore/info
412,Redice @ Wonderla Resort,3.9,"Italian, North Indian, Chinese","₹2,000 for two"," Mysore Road, Bangalore",https://www.zomato.com/bangalore/redice-wonderla-resort-mysore-road/info
413,Parkland Pub & Bar,3.9,Salad,₹950 for two," Bannerghatta Road, Bangalore",https://www.zomato.com/bangalore/parkland-pub-bar-bannerghatta-road-bangalore/info
414,Henchina Mane Restaurant & Bar,3.9,"South Indian, North Indian, Biryani, Chinese, Finger Food, Beverages",₹800 for two," JP Nagar, Bangalore",https://www.zomato.com/bangalore/henchina-mane-restaurant-bar-jp-nagar-bangalore/info
415,Swizzle - WelcomHotel By ITC Hotels,4.1,Finger Food,"₹2,500 for two"," WelcomHotel By ITC Hotels, Richmond Road, Bangalore",https://www.zomato.com/bangalore/swizzle-welcomhotel-by-itc-hotels-richmond-road-bangalore/info
416,The Terrace Tandoor & Grill Restaurant,4.0,"North Indian, Continental, Beverages","₹1,500 for two"," Fortune Park JP Celestial, Bangalore",https://www.zomato.com/bangalore/the-terrace-tandoor-grill-restaurant-race-course-road/info
417,What's In A Name,3.7,"Finger Food, Continental, Fast Food, Italian, Seafood, North Indian, Beverages","₹1,400 for two"," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/whats-in-a-name-koramangala-5th-block/info
418,Glacier - Citrine Hotel,3.9,"Finger Food, North Indian, Chinese, Shake, Sichuan","₹1,200 for two"," Citrine Hotel, Seshadripuram, Bangalore",https://www.zomato.com/bangalore/glacier-citrine-hotel-seshadripuram-bangalore/info
419,Sangeeth Bar & Restaurant,3.8,"North Indian, South Indian, Chinese, Seafood, Biryani, Kebab",₹700 for two," Seshadripuram, Bangalore",https://www.zomato.com/bangalore/sangeeth-bar-restaurant-seshadripuram-bangalore/info
420,Linnet Bar & Restaurant,3.9,Finger Food,₹950 for two," Banashankari, Bangalore",https://www.zomato.com/bangalore/linnet-bar-restaurant-banashankari-bangalore/info
421,Sneha Sree Bar and Restaurant,3.9,"South Indian, North Indian, Seafood, Chinese",₹850 for two," Jalahalli, Bangalore",https://www.zomato.com/bangalore/sneha-sree-bar-and-restaurant-jalahalli/info
422,The Mint Resto Bar,3.6,"North Indian, Chinese, Andhra","₹1,200 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/the-mint-resto-bar-marathahalli/info
423,Paprica,3.6,"North Indian, Chinese, Biryani, Seafood, Beverages, Desserts",₹850 for two," Marathahalli, Bangalore",https://www.zomato.com/bangalore/paprica-1-marathahalli/info
424,O2Bar - Breath Of Fresh Air,3.7,"North Indian, Chinese","₹1,200 for two"," Bommasandra, Bangalore",https://www.zomato.com/bangalore/o2bar-breath-of-fresh-air-bommasandra-bangalore/info
425,MM Bar & Restaurant,3.9,"South Indian, North Indian, Chinese",₹850 for two," Shivajinagar, Bangalore",https://www.zomato.com/bangalore/mm-bar-restaurant-shivajinagar-bangalore/info
426,Hotel New Karavali,3.9,"Chinese, Mughlai, Seafood, North Indian, Biryani, Finger Food",₹950 for two," Hennur, Bangalore",https://www.zomato.com/bangalore/hotel-new-karavali-hennur/info
427,Chiller's Nation - Iris Inn,3.8,"North Indian, Continental, Italian, Shake","₹1,400 for two"," Iris Inn, Bangalore",https://www.zomato.com/bangalore/chillers-nation-iris-inn-marathahalli-bangalore/info
428,Mehendi,3.7,"Bar Food, Chinese","₹1,200 for two"," Residency Road, Bangalore",https://www.zomato.com/bangalore/mehendi-residency-road/info
429,Basmati Bar & Restaurant,3.9,"North Indian, Andhra, Mughlai, Chinese, Seafood, Beverages, Desserts","₹1,400 for two"," Electronic City, Bangalore",https://www.zomato.com/bangalore/basmati-bar-restaurant-electronic-city-bangalore/info
430,Akshaya Restaurant,3.9,"North Indian, Chinese",₹700 for two," Yelahanka, Bangalore",https://www.zomato.com/bangalore/akshaya-restaurant-yelahanka-bangalore/info
431,Vira's Bar And Restaurant,3.9,"South Indian, North Indian, Chinese",₹950 for two," Banashankari, Bangalore",https://www.zomato.com/bangalore/viras-bar-and-restaurant-banashankari-bangalore/info
432,Vishnu Garden Multicuisine Family Restaurant,3.6,"North Indian, Chinese",₹850 for two," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/vishnu-garden-multicuisine-family-restaurant-sarjapur-road-bangalore/info
433,Royal Garden Restaurant,3.9,"North Indian, Chinese, Mughlai, South Indian, Biryani",₹850 for two," Hebbal, Bangalore",https://www.zomato.com/bangalore/royal-garden-restaurant-hebbal/info
